"visit_date";"utm_source";"utm_medium";"utm_campaign";"visitors_count";"total_cost";"leads_count";"purchases_count";"revenue"
2023-06-08;zen;social;all-courses;1;;0;126;
2023-06-08;zen;social;hexlet;1;;0;126;
2023-06-08;zen;social;prof-data-analytics;1;;0;126;
2023-06-09;vk;cpc;prof-python;182;5077;0;126;
2023-06-09;vk;cpc;freemium-frontend;181;2534;0;126;
2023-06-09;vk;cpc;prof-java;161;4610;0;126;
2023-06-09;vk;cpc;prof-data-analytics;160;4502;0;126;
2023-06-09;vk;cpc;freemium-python;119;2533;0;126;
2023-06-09;vk;cpc;freemium-java;109;2533;0;126;
2023-06-09;vk;cpc;prof-frontend;108;5077;0;126;
2023-06-09;vk;cpc;base-python;105;;0;126;
2023-06-09;admitad;cpa;admitad;49;;0;126;
2023-06-09;timepad;cpp;base-frontend;34;;0;126;
2023-06-09;telegram;cpp;base-frontend;15;;0;126;
2023-06-09;vk;cpm;prof-data-analytics;11;64;0;126;
2023-06-09;vk-senler;cpc;freemium;9;;0;126;
2023-06-09;vk;cpp;base-frontend;7;;0;126;
2023-06-09;tproger;cpc;dod-frontend;6;;0;126;
2023-06-09;vk;cpm;prof-frontend;5;;0;126;
2023-06-09;telegram;cpp;prof-python;4;;0;126;
2023-06-09;telegram;cpp;dod-frontend;3;;0;126;
2023-06-09;telegram;cpp;base-java;2;;0;126;
2023-06-09;telegram;cpp;prof-frontend;2;;0;126;
2023-06-09;vk;social;all-courses;2;;0;126;
2023-06-09;vk;social;base-python;2;;0;126;
2023-06-09;Yandex;cpc;"42790821";1;;0;126;
2023-06-09;Yandex;cpc;"87255026";1;;0;126;
2023-06-09;facebook;social;hexlet-blog;1;;0;126;
2023-06-09;mytarget;cpc;freemium;1;;0;126;
2023-06-09;rutube;social;all-courses;1;;0;126;
2023-06-09;social;youtube;chistie-funktsii;1;;0;126;
2023-06-09;telegram;cpp;prof-java;1;;0;126;
2023-06-09;telegram;social;hexlet-blog;1;;0;126;
2023-06-09;telegram;social;kak-gumanitariy-stal-bekend-razrabotchiko;1;;0;126;
2023-06-09;telegram.me;social;na-hekslet-poyavilis-novye-ispytaniya-v-k;1;;0;126;
2023-06-09;telegram.me;social;printsipy-programmirovaniya-heksletahttp;1;;0;126;
2023-06-09;twitter;social;devushki_v_it;1;;0;126;
2023-06-09;vk;cpc;frontend;1;;0;126;
2023-06-09;vk;social;base-frontend;1;;0;126;
2023-06-09;vk;social;dod-java;1;;0;126;
2023-06-10;vk;cpc;prof-python;164;5458;0;126;
2023-06-10;vk;cpc;freemium-frontend;155;2536;0;126;
2023-06-10;vk;cpc;prof-java;150;3743;0;126;
2023-06-10;vk;cpc;freemium-python;143;2536;0;126;
2023-06-10;vk;cpc;prof-data-analytics;130;4220;0;126;
2023-06-10;vk;cpc;base-python;119;;0;126;
2023-06-10;vk;cpc;freemium-java;108;2537;0;126;
2023-06-10;vk;cpc;prof-frontend;97;5458;0;126;
2023-06-10;admitad;cpa;admitad;31;;0;126;
2023-06-10;vk-senler;cpc;freemium;14;;0;126;
2023-06-10;vk;cpm;prof-data-analytics;12;;0;126;
2023-06-10;telegram;cpp;base-frontend;7;;0;126;
2023-06-10;vk;cpm;prof-frontend;5;;0;126;
2023-06-10;timepad;cpp;base-frontend;4;;0;126;
2023-06-10;google;cpc;frontend;2;;0;126;
2023-06-10;vk;cpm;base;2;;0;126;
2023-06-10;vk;cpp;base-frontend;2;;0;126;
2023-06-10;vk;social;hexlet-blog;2;;0;126;
2023-06-10;facebook;social;course_completed;1;;0;126;
2023-06-10;telegram;cpp;base-java;1;;0;126;
2023-06-10;telegram;cpp;base-python;1;;0;126;
